
781574,0.16,-0.04,-0.09,0.98,-0.43,-1.84,9.73,-0.00,0.00,0.00,10.00,-23.25,-34.25
781596,0.16,-0.04,-0.09,0.98,-0.42,-1.81,9.71,-0.00,0.00,-0.00,10.00,-23.25,-34.25
781619,0.16,-0.04,-0.09,0.98,-0.42,-1.82,9.75,0.00,0.00,-0.00,10.75,-23.69,-34.25
781643,0.16,-0.04,-0.09,0.98,-0.41,-1.83,9.70,0.00,0.00,0.00,10.75,-23.69,-34.25
781666,0.16,-0.04,-0.09,0.98,-0.43,-1.82,9.70,-0.00,0.00,-0.00,11.19,-23.25,-34.56
781688,0.16,-0.04,-0.09,0.98,-0.40,-1.80,9.66,0.00,-0.00,0.00,11.19,-23.25,-34.56
781713,0.16,-0.04,-0.09,0.98,-0.41,-1.82,9.73,0.00,0.00,0.00,10.75,-23.25,-34.25
781735,0.16,-0.04,-0.09,0.98,-0.42,-1.82,9.68,0.00,0.00,0.00,10.75,-23.25,-34.25
781758,0.16,-0.04,-0.09,0.98,-0.40,-1.81,9.75,0.00,0.00,0.00,10.38,-23.25,-34.25
781783,0.16,-0.04,-0.09,0.98,-0.42,-1.81,9.65,-0.00,0.00,0.00,10.38,-23.25,-34.25
781805,0.16,-0.04,-0.09,0.98,-0.43,-1.83,9.72,0.00,0.01,0.00,10.00,-23.69,-34.56
781828,0.16,-0.04,-0.09,0.98,-0.41,-1.82,9.65,-0.00,0.00,0.00,10.00,-23.69,-34.56
781850,0.16,-0.04,-0.09,0.98,-0.42,-1.81,9.71,0.00,0.00,0.00,10.00,-23.69,-34.56
781873,0.16,-0.04,-0.09,0.98,-0.41,-1.81,9.71,0.00,0.00,0.00,10.75,-22.56,-34.25
781895,0.16,-0.04,-0.09,0.98,-0.41,-1.82,9.72,-0.00,-0.00,0.00,10.75,-22.56,-34.25
781918,0.16,-0.04,-0.09,0.98,-0.41,-1.83,9.75,-0.00,0.00,0.00,11.19,-23.69,-33.88
781942,0.16,-0.04,-0.09,0.98,-0.42,-1.84,9.68,-0.00,0.00,0.00,11.19,-23.69,-33.88
781965,0.16,-0.04,-0.09,0.98,-0.42,-1.81,9.68,0.00,0.00,-0.00,11.19,-23.69,-34.56
781987,0.16,-0.04,-0.09,0.98,-0.41,-1.85,9.67,-0.00,0.00,0.00,11.19,-23.69,-34.56
782012,0.16,-0.04,-0.09,0.98,-0.40,-1.82,9.72,0.00,0.00,0.00,10.00,-23.69,-34.56
782034,0.16,-0.04,-0.09,0.98,-0.42,-1.82,9.65,0.00,0.00,0.00,10.00,-23.69,-34.56
782057,0.16,-0.04,-0.09,0.98,-0.40,-1.82,9.74,0.00,0.00,-0.00,10.75,-23.69,-33.88
782082,0.16,-0.04,-0.09,0.98,-0.41,-1.82,9.60,0.00,0.00,0.00,10.75,-23.69,-33.88
782104,0.16,-0.04,-0.09,0.98,-0.43,-1.81,9.74,0.00,0.00,0.00,11.19,-22.87,-34.25
782127,0.16,-0.04,-0.09,0.98,-0.42,-1.81,9.65,0.00,0.00,0.00,11.19,-22.87,-34.25
782147,0.16,-0.04,-0.09,0.98,-0.41,-1.84,9.73,-0.00,0.00,0.00,11.19,-22.87,-34.25
